tract,Name,Household_Income_rP_gP_pall
34039037900,"Summit, NJ",86499
34035052204,"Warren, NJ",81887
34035052601,"Far Hills, NJ",79588
34027044200,"Morristown, NJ",79531
34039038201,"Berkeley Heights, NJ",79477
34035050801,"Bridgewater, NJ",78928
34039037700,"Summit, NJ",78006
34035052400,"Basking Ridge, Bernards, NJ",77015
34035052203,"Warren, NJ",76394
34039036500,"Westfield, NJ",76227
34027044000,"Chatham Township, NJ",76048
34035054100,"Basking Ridge, Bernards, NJ",75806
34027045902,"Chester, NJ",75397
34035050902,"Martinsville, Bridgewater, NJ",74758
34019011201,"Hunterdon County, NJ",74652
34035050903,"Martinsville, Bridgewater, NJ",74411
34035052603,"Basking Ridge, Bernards, NJ",74238
34027043900,"Chatham Township, NJ",73838
34039038602,"Scotch Plains, NJ",73119
34027042800,"Chatham, NJ",71979
34035050901,"Martinsville, Bridgewater, NJ",71187
34035050802,"Bridgewater, NJ",70834
34035052800,"Somerset County, NJ",70764
34035052901,"Far Hills, NJ",70563
34039038102,"New Providence, NJ",70508
34023001412,"Edison, NJ",70500
34023001001,"South Plainfield, NJ",70471
34035052300,"Watchung, NJ",70170
34039038202,"Berkeley Heights, NJ",69954
34039038500,"Scotch Plains, NJ",69809
34039038300,"Mountainside, NJ",69723
34035052201,"Warren, NJ",69282
34035052700,"Bernardsville, NJ",69257
34039038101,"New Providence, NJ",69205
34035052904,"Far Hills, NJ",68576
34027044101,"Millington, Long Hill, NJ",68212
34019010100,"Lebanon, NJ",67848
34027044102,"Gillette, NJ",67608
34027046298,"Long Valley, Washington Township, NJ",67280
34039038700,"Fanwood, NJ",66970
34035053603,"Somerville, NJ",65241
34035052100,"Dunellen, NJ",64892
34035050600,"Raritan, NJ",64854
34039037800,"Summit, NJ",64058
34035051300,"Bound Brook, NJ",63478
34035052903,"Pluckemin, Bedminster Township, NJ",63312
34023001413,"Edison, NJ",62303
34023000100,"Middlesex, NJ",62256
34035053604,"Branchburg, NJ",62176
34019011100,"Hunterdon County, NJ",62128
34035050704,"Bridgewater, NJ",61728
34023001002,"South Plainfield, NJ",60792
34023000901,"South Plainfield, NJ",60577
34035050703,"Bridgewater, NJ",59365
34023000802,"South Plainfield, NJ",59296
34023000902,"South Plainfield, NJ",56811
34023000401,"Piscataway Township, NJ",56216
34035052001,"North Plainfield, NJ",55216
34035051900,"North Plainfield, NJ",53350
34039038400,"Scotch Plains, NJ",53331
34023000300,"Dunellen, NJ",50478
34023000801,"South Plainfield, NJ",50104
34023000200,"Middlesex, NJ",49811
34035051700,"North Plainfield, NJ",45780
34035050200,"Somerville, NJ",45489
34039039100,"Plainfield, NJ",44788
34035051800,"North Plainfield, NJ",44325
34035052002,"North Plainfield, NJ",43822
34023000501,"Piscataway Township, NJ",38273
34039039600,"Plainfield, NJ",35540
34039039200,"Plainfield, NJ",35359
34039039700,"Plainfield, NJ",34617
34039038900,"Plainfield, NJ",28870
34039039400,"Plainfield, NJ",28355
34039038800,"Plainfield, NJ",28025
34039039000,"Plainfield, NJ",26741
34039039300,"Plainfield, NJ",25529
34039039500,"Plainfield, NJ",25304
