tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
34023000300,"Dunellen, NJ",0.311
34039038800,"Plainfield, NJ",0.2981
34023000100,"Middlesex, NJ",0.2837
34023000501,"Piscataway Township, NJ",0.2738
34035050200,"Somerville, NJ",0.2711
34039039600,"Plainfield, NJ",0.2682
34039039500,"Plainfield, NJ",0.2657
34039039700,"Plainfield, NJ",0.2591
34039039100,"Plainfield, NJ",0.2581
34039038400,"Scotch Plains, NJ",0.2568
34039039400,"Plainfield, NJ",0.2543
34023000401,"Piscataway Township, NJ",0.2542
34023001002,"South Plainfield, NJ",0.2507
34023000801,"South Plainfield, NJ",0.2421
34035052300,"Watchung, NJ",0.2348
34039039200,"Plainfield, NJ",0.2343
34023000902,"South Plainfield, NJ",0.2321
34035052201,"Warren, NJ",0.2283
34039038900,"Plainfield, NJ",0.2278
34023000200,"Middlesex, NJ",0.2252
34039039000,"Plainfield, NJ",0.2233
34035051700,"North Plainfield, NJ",0.2177
34039038300,"Mountainside, NJ",0.2169
34039039300,"Plainfield, NJ",0.2166
34023001412,"Edison, NJ",0.2145
34027044102,"Gillette, NJ",0.2088
34023001413,"Edison, NJ",0.207
34023000802,"South Plainfield, NJ",0.2024
34023001001,"South Plainfield, NJ",0.201
34023000901,"South Plainfield, NJ",0.1988
34035052100,"Dunellen, NJ",0.1984
34039038700,"Fanwood, NJ",0.1951
34035051900,"North Plainfield, NJ",0.1851
34035052700,"Bernardsville, NJ",0.1819
34039038101,"New Providence, NJ",0.1812
34035050600,"Raritan, NJ",0.1798
34039038500,"Scotch Plains, NJ",0.1758
34039038102,"New Providence, NJ",0.174
34039037800,"Summit, NJ",0.1731
34035052203,"Warren, NJ",0.1678
34035050902,"Martinsville, Bridgewater, NJ",0.1673
34035052002,"North Plainfield, NJ",0.1661
34035051800,"North Plainfield, NJ",0.1658
34035052001,"North Plainfield, NJ",0.1653
34035053603,"Somerville, NJ",0.1636
34035052901,"Far Hills, NJ",0.1597
34019011100,"Hunterdon County, NJ",0.1564
34035051300,"Bound Brook, NJ",0.1562
34039038202,"Berkeley Heights, NJ",0.1536
34027046298,"Long Valley, Washington Township, NJ",0.1527
34035052204,"Warren, NJ",0.1524
34035052800,"Somerset County, NJ",0.1511
34035050801,"Bridgewater, NJ",0.15
34035050903,"Martinsville, Bridgewater, NJ",0.1494
34027044000,"Chatham Township, NJ",0.1491
34035053604,"Branchburg, NJ",0.149
34019010100,"Lebanon, NJ",0.1474
34035050802,"Bridgewater, NJ",0.1468
34027044200,"Morristown, NJ",0.1401
34035050901,"Martinsville, Bridgewater, NJ",0.1377
34039038201,"Berkeley Heights, NJ",0.137
34035052603,"Basking Ridge, Bernards, NJ",0.1368
34019011201,"Hunterdon County, NJ",0.136
34027042800,"Chatham, NJ",0.1359
34035050704,"Bridgewater, NJ",0.1346
34027044101,"Millington, Long Hill, NJ",0.1313
34027043900,"Chatham Township, NJ",0.1304
34039036500,"Westfield, NJ",0.1288
34035052904,"Far Hills, NJ",0.1272
34035054100,"Basking Ridge, Bernards, NJ",0.1269
34035052400,"Basking Ridge, Bernards, NJ",0.1266
34039038602,"Scotch Plains, NJ",0.1239
34035052903,"Pluckemin, Bedminster Township, NJ",0.1208
34035050703,"Bridgewater, NJ",0.117
34027045902,"Chester, NJ",0.1166
34035052601,"Far Hills, NJ",0.1144
34039037700,"Summit, NJ",0.1089
34039037900,"Summit, NJ",0.0995
